file_name,image_id_a,image_id_b,n_batches_for_file,mask_area_a_px,mask_area_b_px,n_anns_a,n_anns_b,iou
20110823120334Ch.jpeg,010202-20110823120334Ch,010203-20110823120334Ch,3,6005,3571,4,1,0.37015309772499644
20150221155154Bh.jpeg,010403-20150221155154Bh,010401-20150221155154Bh,3,17297,9877,7,5,0.3703479576399395
20210616142650Bh.jpeg,040401-20210616142650Bh,040402-20210616142650Bh,2,2760,3515,1,4,0.3733858612387831
20161231133734Ch.jpeg,010203-20161231133734Ch,010202-20161231133734Ch,2,6941,14162,4,6,0.3734461438333876
20170804140650Bh.jpeg,010403-20170804140650Bh,010402-20170804140650Bh,3,2465,3339,2,3,0.3740530303030303
20131229112414Th.jpeg,050102-20131229112414Th,050101-20131229112414Th,3,13150,6637,8,9,0.37591266254085254
20210223222830Ch.jpeg,010401-20210223222830Ch,010402-20210223222830Ch,3,5057,6688,2,5,0.37609841827768015
20130429063154Uh.jpeg,010403-20130429063154Uh,010402-20130429063154Uh,2,5253,11749,4,8,0.3762344180022665
20141216222634Lh.jpeg,050102-20141216222634Lh,050101-20141216222634Lh,3,42141,38659,13,10,0.3768190028286133
20110727063234Lh.jpeg,050103-20110727063234Lh,050102-20110727063234Lh,3,8683,14255,4,5,0.3771613832853026
20120404063154Uh.jpeg,010402-20120404063154Uh,010401-20120404063154Uh,3,11631,10636,7,5,0.37748221466130527
20141106195854Bh.jpeg,010401-20141106195854Bh,010402-20141106195854Bh,3,15665,25216,7,13,0.3786463426971976
20131006075314Th.jpeg,010101-20131006075314Th,010102-20131006075314Th,2,22485,28647,11,10,0.37877848186598356
20130425135954Bh.jpeg,010101-20130425135954Bh,010102-20130425135954Bh,2,15208,12387,11,7,0.38106200890846303
20110823120334Ch.jpeg,010203-20110823120334Ch,010201-20110823120334Ch,3,3571,6843,1,4,0.38116710875331566
20170418013450Uh.jpeg,010101-20170418013450Uh,010103-20170418013450Uh,3,4122,2538,2,1,0.3811696391538781
20121009165914Mh.jpeg,010403-20121009165914Mh,010402-20121009165914Mh,2,10479,19251,1,4,0.3822120972616114
20171004143950Bh.jpeg,010202-20171004143950Bh,010203-20171004143950Bh,2,5824,10014,2,5,0.38226566591028105
20110324082614Th.jpeg,020401-20110324082614Th,020403-20110324082614Th,2,2218,1272,4,2,0.3827258320126783
20210222222850Bh.jpeg,010103-20210222222850Bh,010101-20210222222850Bh,2,818,696,3,2,0.38391224862888484
20220721185332Bh.jpeg,010403-20220721185332Bh,010402-20220721185332Bh,3,10992,20601,7,12,0.3882761348156611
20160501143154Bh.jpeg,020401-20160501143154Bh,020403-20160501143154Bh,2,2824,6060,5,7,0.3885589246639575
20170726235030Lh.jpeg,010201-20170726235030Lh,010203-20170726235030Lh,3,9605,15376,7,5,0.3895316497941929
20160403170114Mh.jpeg,010403-20160403170114Mh,010401-20160403170114Mh,3,5018,8230,3,4,0.39086614173228346
20140710083214Th.jpeg,050103-20140710083214Th,050102-20140710083214Th,3,25396,40336,16,10,0.3912417719643575
20120610175114Mh.jpeg,010401-20120610175114Mh,010403-20120610175114Mh,3,19367,21661,10,11,0.3918176267046611
20160617133654Bh.jpeg,050102-20160617133654Bh,050103-20160617133654Bh,3,14624,6728,7,5,0.39182582621732615
20120206063134Lh.jpeg,010101-20120206063134Lh,010102-20120206063134Lh,2,18823,22036,10,7,0.39288879798186405
20160402025254Uh.jpeg,020401-20160402025254Uh,020403-20160402025254Uh,2,6694,12127,8,7,0.3931162102146558
20160229151254Bh.jpeg,010402-20160229151254Bh,010401-20160229151254Bh,3,16769,10067,8,6,0.39320942788910807
20111009110234Ch.jpeg,010401-20111009110234Ch,010403-20111009110234Ch,3,5265,6584,10,7,0.3936720771583157
20170502233130Lh.jpeg,010201-20170502233130Lh,010202-20170502233130Lh,3,1424,3121,1,2,0.3941717791411043
20120703070814Th.jpeg,010403-20120703070814Th,010401-20120703070814Th,3,10539,13316,8,14,0.39969488939740655
20140605195854Bh.jpeg,010301-20140605195854Bh,010302-20140605195854Bh,2,4328,3592,5,2,0.3997879109225875
20120110155754Bh.jpeg,050102-20120110155754Bh,050101-20120110155754Bh,3,61046,31917,6,4,0.39987652090109627
20131007075314Th.jpeg,010403-20131007075314Th,010401-20131007075314Th,3,21504,13030,7,7,0.40085997079344476
20111027145954Bh.jpeg,010102-20111027145954Bh,010103-20111027145954Bh,3,20590,11209,5,7,0.40163970555824924
20111027145954Bh.jpeg,010103-20111027145954Bh,010101-20111027145954Bh,3,11209,11687,7,4,0.40208205756276794
20200110073230Lh.jpeg,010103-20200110073230Lh,010101-20200110073230Lh,3,1591,3578,1,1,0.40271370420624153
20110502063154Uh.jpeg,050102-20110502063154Uh,050103-20110502063154Uh,3,33185,18912,9,10,0.4027194399569198
20170327143550Bh.jpeg,010203-20170327143550Bh,010202-20170327143550Bh,2,6571,4263,5,3,0.40282273727825973
20110114105034Ch.jpeg,010101-20110114105034Ch,010103-20110114105034Ch,2,8593,5201,5,10,0.4029698942229455
20141016195834Ch.jpeg,010401-20141016195834Ch,010403-20141016195834Ch,3,8278,14137,9,11,0.4032177288093151
20141027025054Uh.jpeg,010102-20141027025054Uh,010101-20141027025054Uh,2,39704,20603,7,7,0.40363086232980333
20160403170114Mh.jpeg,010403-20160403170114Mh,010402-20160403170114Mh,3,5018,11196,3,6,0.4042958600381084
20110306082634Lh.jpeg,010403-20110306082634Lh,010401-20110306082634Lh,3,10923,7355,6,6,0.4063245364314842
